label,count
fauna,3475
bird,3474
beak,3367
wildlife,3074
finch,2696
perching bird,2522
old world flycatcher,2227
organism,1686
emberizidae,1151
branch,1115
sparrow,1035
tree,898
feather,886
brambling,646
twig,628
ecosystem,543
house sparrow,418
grass,354
wren,309
flora,296
plant,261
wing,261
leaf,250
sky,218
nightingale,206
bird feeder,155
european robin,143
grass family,142
close up,129
bird food,125
bluebird,105
robin,88
wood,87
water,85
plant community,80
transport,66
track,64
rail transport,62
train,58
songbird,57
chickadee,55
vehicle,54
nature reserve,53
ecoregion,46
locomotive,46
lark,43
soil,41
spring,41
winter,40
morning,39
snow,39
bird supply,39
water bird,38
jay,37
house finch,37
woodland,36
eye,35
vegetation,34
shrubland,32
forest,29
coraciiformes,27
grassland,27
rolling stock,27
highland,26
steam engine,25
trunk,23
bird nest,21
deciduous,21
cage,21
nest,20
woody plant,20
duck,19
piciformes,18
jungle,18
cloud,18
ortolan bunting,15
shorebird,15
mode of transport,15
reflection,15
biome,15
flower,15
macro photography,14
rural area,14
black and white,14
engine,14
freezing,12
tail,12
autumn,12
seabird,11
woodpecker,11
junco,11
bird bath,11
parakeet,11
cuculiformes,11
plant stem,10
rodent,10
shrub,10
public transport,10
body of water,9
stream,9
watercourse,9
nature,9
ducks geese and swans,9
pigeons and doves,9
old world oriole,9
squirrel,9
train station,9
birdhouse,9
smoke,9
land vehicle,9
mountain,9
blackbird,8
insect,8
pine family,8
pond,8
mammal,8
sunlight,8
hill,8
garden,8
lawn,8
night,8
house,8
creek,7
river,7
field,7
pollinator,7
terrestrial animal,7
outdoor structure,7
rock,7
evergreen,7
landscape,7
meadow,6
railroad car,6
monochrome photography,6
bank,6
wetland,6
yellow,6
water resources,6
evening,6
hummingbird,6
blossom,6
town,6
monochrome,6
yard,6
building,6
crow,5
crow like bird,5
charadriiformes,5
reptile,5
swallow,5
vertebrate,5
stock dove,5
road surface,5
darkness,5
auto part,5
home,5
wilderness,4
american crow,4
waterfowl,4
european herring gull,4
gull,4
window,4
bird of prey,4
fox squirrel,4
waterway,4
whiskers,4
galliformes,4
ice,4
subshrub,4
line,4
sunset,4
afterglow,4
red sky at morning,4
sunrise,4
asphalt,4
motor vehicle,4
car,4
common pet parakeet,4
architecture,4
lighting,4
facade,4
membrane winged insect,3
phragmites,3
flight,3
blue,3
green,3
sea,3
scaled reptile,3
chipmunk,3
snout,3
fungus,3
rainforest,3
herb,3
flowering plant,3
wildflower,3
technology,3
egg,3
painting,3
chain link fencing,3
roller,3
automotive engine part,3
wire fencing,3
iron,3
residential area,3
christmas tree,3
christmas,3
cottage,3
atmosphere,3
waterfall,3
meteorological phenomenon,3
riparian zone,2
mallard,2
ciconiiformes,2
egret,2
heron,2
crane like bird,2
great black backed gull,2
goldfinch,2
table,2
invertebrate,2
falcon,2
swan,2
prairie,2
dog,2
dog like mammal,2
hunting dog,2
hound,2
broholmer,2
farm,2
edible mushroom,2
mountainous landforms,2
parsley family,2
roof,2
pasture,2
still life photography,2
thorns spines and prickles,2
net,2
conifer,2
spruce,2
cinclidae,2
goose,2
sun,2
collage,2
water feature,2
steam,2
fog,2
machine,2
zoo,2
metal,2
christmas decoration,2
metropolitan area,2
old growth forest,2
path,2
hippophae,2
geology,2
daytime,2
sheep,2
art,2
still life,2
owl,2
great grey owl,2
pheasant,2
phasianidae,2
real estate,2
property,2
light,2
dawn,2
horizon,2
starling,2
animal shelter,1
wave,1
ocean,1
shore,1
commodity,1
black,1
fur,1
material,1
textile,1
food,1
meal,1
dessert,1
dish,1
breakfast,1
mushroom,1
penny bun,1
matsutake,1
redshank,1
swamp,1
waste,1
scrap,1
bud,1
canal,1
hornbill,1
amphibian,1
winter storm,1
bustard,1
non vascular land plant,1
slug,1
snails and slugs,1
casuarina,1
calidrid,1
prairie dog,1
television antenna,1
antenna,1
electronics accessory,1
public utility,1
electrical supply,1
eurasian magpie,1
magpie,1
fruit tree,1
fruit,1
citrus,1
pine,1
fly,1
automotive exterior,1
shadow,1
finger,1
blue jay,1
mist,1
construction equipment,1
crane,1
bird migration,1
animal migration,1
flock,1
recreation,1
fun,1
mulch,1
interior design,1
ceiling,1
fir,1
rapid transit,1
landmark,1
public space,1
city,1
macaw,1
parrot,1
rook,1
new caledonian crow,1
frost,1
sand,1
stream bed,1
wood stain,1
lumber,1
grazing,1
cow goat family,1
livestock,1
pole,1
bedrock,1
boulder,1
outcrop,1
igneous rock,1
muskrat,1
wall,1
picture frame,1
illustration,1
stock photography,1
structure,1
larch,1
furniture,1
road bicycle,1
bicycle frame,1
bicycle part,1
bridge,1
wire,1
angle,1
fowl,1
pipe,1
geological phenomenon,1
photography,1
cardinal,1
child,1
face,1
person,1
photograph,1
skin,1
sitting,1
nose,1
boy,1
standing,1
neighbourhood,1
shed,1
street light,1
siding,1
christmas lights,1
decor,1
tradition,1
holiday,1
spruce fir forest,1
temperate coniferous forest,1
farmhouse,1
inn,1
listed building,1
brewery,1
percussion,1
tom tom drum,1
brewmaster,1
timbales,1
organization,1
fractal art,1
artwork,1
symmetry,1
computer wallpaper,1
camera accessory,1
product,1
cherry blossom,1
narcissus,1
amaryllis family,1
seed plant,1
orchid,1
fence,1
mesh,1
flightless bird,1
penguin,1